IP:PORT, LOSS, DELAY
162.159.195.232:939,0.00%,166 ms
162.159.195.17:939,0.00%,167 ms
162.159.195.117:939,0.00%,168 ms
162.159.195.187:939,0.00%,172 ms
162.159.192.63:2371,0.00%,175 ms
162.159.195.164:939,0.00%,176 ms
162.159.192.209:2371,0.00%,176 ms
162.159.192.221:2371,0.00%,176 ms
162.159.192.29:939,0.00%,177 ms
162.159.192.14:939,0.00%,177 ms
162.159.192.29:2371,0.00%,177 ms
162.159.195.178:2371,0.00%,177 ms
162.159.192.165:939,0.00%,177 ms
162.159.192.14:2371,0.00%,177 ms
162.159.195.117:2371,0.00%,177 ms
162.159.192.208:2371,0.00%,178 ms
162.159.195.81:2371,0.00%,179 ms
162.159.192.208:939,0.00%,180 ms
162.159.195.187:2371,0.00%,181 ms
162.159.195.17:2371,0.00%,182 ms
162.159.192.73:2371,0.00%,182 ms
162.159.192.157:2371,0.00%,183 ms
162.159.192.130:939,0.00%,184 ms
162.159.192.177:2371,0.00%,186 ms
162.159.192.73:939,0.00%,186 ms
162.159.195.64:2371,0.00%,186 ms
162.159.195.4:939,0.00%,188 ms
162.159.192.209:939,0.00%,189 ms
162.159.192.177:939,0.00%,191 ms
162.159.195.164:2371,0.00%,191 ms
162.159.192.78:939,0.00%,193 ms
162.159.195.81:939,0.00%,194 ms
162.159.195.4:2371,0.00%,195 ms
162.159.192.52:2371,0.00%,196 ms
162.159.195.64:939,0.00%,199 ms
162.159.192.78:2371,0.00%,204 ms
162.159.195.50:2371,0.00%,206 ms
188.114.99.184:2371,0.00%,208 ms
188.114.99.86:2371,0.00%,209 ms
162.159.195.207:2371,0.00%,213 ms
162.159.195.190:939,0.00%,214 ms
188.114.96.73:939,0.00%,215 ms
162.159.195.207:939,0.00%,215 ms
188.114.99.100:939,0.00%,216 ms
162.159.195.232:2371,0.00%,216 ms
162.159.195.50:939,0.00%,217 ms
162.159.195.190:2371,0.00%,218 ms
188.114.97.39:939,0.00%,229 ms
188.114.97.171:2371,0.00%,229 ms
188.114.99.20:2371,0.00%,229 ms
188.114.99.20:939,0.00%,230 ms
188.114.96.28:939,0.00%,230 ms
188.114.99.141:2371,0.00%,231 ms
188.114.98.72:2371,0.00%,231 ms
188.114.97.132:2371,0.00%,232 ms
188.114.98.22:939,0.00%,232 ms
188.114.99.184:939,0.00%,232 ms
188.114.97.71:939,0.00%,232 ms
188.114.98.58:939,0.00%,233 ms
188.114.97.170:2371,0.00%,233 ms
188.114.97.191:939,0.00%,233 ms
188.114.98.185:2371,0.00%,233 ms
188.114.98.251:939,0.00%,233 ms
188.114.97.191:2371,0.00%,233 ms
188.114.99.141:939,0.00%,233 ms
188.114.96.39:2371,0.00%,234 ms
188.114.97.39:2371,0.00%,234 ms
188.114.99.221:939,0.00%,234 ms
188.114.99.60:939,0.00%,234 ms
188.114.96.170:2371,0.00%,234 ms
188.114.96.227:939,0.00%,234 ms
188.114.99.12:2371,0.00%,235 ms
188.114.98.65:939,0.00%,235 ms
188.114.96.48:2371,0.00%,235 ms
188.114.98.64:939,0.00%,235 ms
188.114.98.22:2371,0.00%,235 ms
188.114.96.73:2371,0.00%,235 ms
188.114.99.173:2371,0.00%,235 ms
188.114.98.95:939,0.00%,235 ms
188.114.98.185:939,0.00%,235 ms
188.114.96.170:939,0.00%,236 ms
188.114.99.100:2371,0.00%,236 ms
188.114.96.48:939,0.00%,237 ms
188.114.97.247:939,0.00%,237 ms
188.114.98.65:2371,0.00%,239 ms
188.114.96.97:939,0.00%,239 ms
188.114.98.39:2371,0.00%,240 ms
